,companyName,pledgeScore
0,Agnico Eagle Mines,13.391050112390035
1,Air Canada,12.972049964101691
2,Bank of Montreal,15.366009662025853
3,Bank of Nova Scotia,14.697201776166334
4,Barrick Gold,13.193911571163026
5,Bausch Health Companies,13.96220450762614
6,BCE,13.871246353927187
7,Bombardier,14.24135965014261
8,Brookfield Asset Management,14.370547005577643
9,Canadian Apartment Properties Real Estate Investment Trust,14.797904653095772
10,Canadian Imperial Bank,13.50975089973503
11,Canadian National Railway,13.233524179353356
12,Canadian Natural Resources,13.41172693059308
13,Canadian Pacific Railway,13.775868150262365
14,Canadian Tire,12.618156328593216
15,Canadian Utilities,14.679427768873131
16,Cenovus Energy,13.796246961665185
17,CGI,14.127940051960495
18,Constellation Software,11.44266617603791
19,Couche Tard,14.2690210010864
20,Cronos Group,12.208161736926893
21,Dollarama,14.443462384670271
22,E-L Financial,11.527234300336664
23,Emera,15.840764768938785
24,Empire,11.224409824641109
25,Enbridge,15.628874650905239
26,Fairfax Financial Holdings,11.491215229034424
27,Fortis (Canada),13.73978124925793
28,Franco-Nevada,14.711559620673347
29,George Weston,12.79688467526569
30,Husky Energy,12.790176981971378
31,Hydro One,15.776980473445011
32,Industrial Alliance Insurance,16.043897832006177
33,Intact Financial,13.04585218943768
34,Kinross Gold,13.430545714789153
35,Kirkland Lake Gold,11.645243268360124
36,Lululemon Athletica,14.207662594546179
37,Magna International,10.369424145631116
38,Manulife Financial,14.268096995297864
39,Metro,13.831052379447874
40,National Bank of Canada,15.745020858686168
41,Nutrien,12.949167239438196
42,Onex,14.677557066166202
43,Parkland Fuel,14.216647804004996
44,Pembina Pipeline,14.597224534512657
45,Power Corp of Canada,14.529097707648026
46,Restaurant Brands International,14.539444592534279
47,Rogers Communications,14.672606134989175
48,Royal Bank of Canada,16.361315754015948
49,Saputo,14.336473269950124
50,Shaw Communications,13.465833866275858
51,Shopify,13.331507969569493
52,Sun Life Financial,14.654505046472146
53,Suncor Energy,14.617529616495153
54,TC Energy,14.243908999569326
55,Teck Resources,13.330784754884226
56,Telus,14.822603975023542
57,Thomson Reuters,14.00496727597397
58,Toronto-Dominion Bank,14.797757579162058
59,Waste Connections,13.845265439284626
60,Wheaton Precious Metals,14.81781967042938
